2025-07-30 23:37:51,133 - TransformerTrainer - INFO - Epoch 44 - Train Loss: 0.9044 - Val Loss: 1.6407 - Time: 135.53s - Blue_score: 22.60 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:40:06,527 - TransformerTrainer - INFO - Epoch 45 - Train Loss: 0.9025 - Val Loss: 1.6439 - Time: 135.39s - Blue_score: 22.80 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:42:21,890 - TransformerTrainer - INFO - Epoch 46 - Train Loss: 0.8985 - Val Loss: 1.6457 - Time: 135.36s - Blue_score: 24.94 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:44:36,579 - TransformerTrainer - INFO - Epoch 47 - Train Loss: 0.8972 - Val Loss: 1.6413 - Time: 134.69s - Blue_score: 24.39 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:46:51,754 - TransformerTrainer - INFO - Epoch 48 - Train Loss: 0.8961 - Val Loss: 1.6461 - Time: 135.17s - Blue_score: 25.07 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-30 23:49:06,292 - TransformerTrainer - INFO - Epoch 49 - Train Loss: 0.8944 - Val Loss: 1.6445 - Time: 134.54s - Blue_score: 24.76 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 09:59:50,701 - TransformerTrainer - INFO - Epoch 0 - Train Loss: 8.6266 - Val Loss: 5.5553 - Time: 220.44s - Blue_score: 0.00 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 17754.00MB
2025-07-31 10:02:04,246 - TransformerTrainer - INFO - Epoch 1 - Train Loss: 4.5695 - Val Loss: 3.7551 - Time: 132.11s - Blue_score: 1.56 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19418.00MB
2025-07-31 10:04:21,099 - TransformerTrainer - INFO - Epoch 2 - Train Loss: 3.3634 - Val Loss: 2.9908 - Time: 132.23s - Blue_score: 11.93 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19386.00MB
2025-07-31 10:06:42,043 - TransformerTrainer - INFO - Epoch 3 - Train Loss: 2.7781 - Val Loss: 2.5200 - Time: 136.34s - Blue_score: 5.12 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:09:00,494 - TransformerTrainer - INFO - Epoch 4 - Train Loss: 2.4055 - Val Loss: 2.2478 - Time: 136.91s - Blue_score: 4.64 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:11:18,798 - TransformerTrainer - INFO - Epoch 5 - Train Loss: 2.1409 - Val Loss: 2.0591 - Time: 136.78s - Blue_score: 3.32 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:13:39,669 - TransformerTrainer - INFO - Epoch 6 - Train Loss: 1.9420 - Val Loss: 1.9296 - Time: 136.22s - Blue_score: 4.47 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:15:57,520 - TransformerTrainer - INFO - Epoch 7 - Train Loss: 1.7864 - Val Loss: 1.8455 - Time: 136.31s - Blue_score: 5.89 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:18:18,849 - TransformerTrainer - INFO - Epoch 8 - Train Loss: 1.6583 - Val Loss: 1.7436 - Time: 136.70s - Blue_score: 5.88 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:20:39,642 - TransformerTrainer - INFO - Epoch 9 - Train Loss: 1.5495 - Val Loss: 1.6957 - Time: 136.19s - Blue_score: 6.16 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:23:01,284 - TransformerTrainer - INFO - Epoch 10 - Train Loss: 1.4535 - Val Loss: 1.6546 - Time: 137.02s - Blue_score: 6.46 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:25:23,136 - TransformerTrainer - INFO - Epoch 11 - Train Loss: 1.3661 - Val Loss: 1.6424 - Time: 137.22s - Blue_score: 6.95 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:27:44,121 - TransformerTrainer - INFO - Epoch 12 - Train Loss: 1.2866 - Val Loss: 1.6153 - Time: 136.34s - Blue_score: 8.24 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:30:05,488 - TransformerTrainer - INFO - Epoch 13 - Train Loss: 1.2122 - Val Loss: 1.5989 - Time: 136.73s - Blue_score: 7.03 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
